section,sweep_param,sweep_value,sweep_label,param_B,value_B,cmro2_bias,cmro2_rel_bias,cmro2_mean,cmro2_std,R0_mean,pves_mean,pO2_abs_err,pO2_rel_err,spread
OAT,cmro2_true,1.0,1.00,,,0.15538956277746796,15.538956277746795,1.155389562777468,0.22536004856294903,99.95391697756698,80.60717922191036,2.494423031297165,4.175179664706018,0.2196538046879225
OAT,cmro2_true,1.5,1.50,,,0.2461815439312498,16.412102928749984,1.7461815439312498,0.1974095367468291,98.61202608241919,79.8234633042801,3.849436917144487,7.798607564990633,0.19241101563753513
OAT,cmro2_true,2.0,2.00,,,0.09205858136670875,4.602929068335437,2.0920585813667087,0.3309601535302405,99.0609376871329,75.91545202727795,4.921908600621446,12.489165692147225,0.3225800552785655
OAT,cmro2_true,2.5,2.50,,,0.1626147212019604,6.5045888480784155,2.6626147212019604,0.30211209162230623,98.93949189277035,76.80100075222147,4.976507957155523,16.986914136557395,0.2944624426122702
OAT,cmro2_true,3.0,3.00,,,0.13071258688663923,4.357086229554641,2.8692874131133608,0.25934596514698466,101.17636892702424,73.98121618023507,5.467225074598674,28.993477355177944,0.2527791786443653
OAT,R0_true,80.0,80,,,0.1985520343321978,9.92760171660989,2.198552034332198,0.5479144544828269,79.653211938566,78.63890896103473,3.3302830993287045,5.753033998227542,0.5340409506392306
OAT,R0_true,90.0,90,,,0.14586546423806634,7.293273211903317,2.1458654642380663,0.3584105411404217,89.60552525333385,78.04626202307861,4.09399283265108,8.282787834319134,0.3493353835507383
OAT,R0_true,100.0,100,,,0.13898367772756615,6.949183886378307,2.138983677727566,0.25321432750808764,98.71314331161176,77.49360061993302,3.7731718764258244,9.522927875602553,0.24680279753804332
OAT,R0_true,110.0,110,,,0.10323105497384066,5.161552748692033,2.1032310549738407,0.1549847732957083,110.52170843606265,77.98932236739878,5.344447893286542,19.816438750091383,0.15106047118901092
OAT,R0_true,120.0,120,,,0.13461995160063633,6.730997580031817,2.1346199516006363,0.18006894110244429,119.07632265935497,76.97622694529669,6.421407584990695,47.34720800824694,0.17550949368130425
OAT,R0_true,130.0,130,,,0.1365744329275067,6.828721646375335,2.1365744329275067,0.18886389180998994,129.08157795668382,77.17319111558132,6.785041739669696,839.5942998984779,0.1840817512632222
OAT,obs_var,1.0,1,,,0.18261319096169792,9.130659548084896,2.182613190961698,0.058183759373915955,97.73875055503272,77.10118783765874,4.055366093043262,10.261430288999911,0.056710513682540965
OAT,obs_var,25.0,5,,,0.1766292731667991,8.831463658339956,2.176629273166799,0.10570343455631014,99.27968949571292,78.19298651387092,4.45784515151223,11.310020122049817,0.10302696381603282
OAT,obs_var,100.0,10,,,0.19266466178494834,9.633233089247417,2.1926646617849483,0.1839016285771898,100.00590706449063,79.57844966851945,4.338820850376685,11.071348470015849,0.17924513534173123
OAT,obs_var,2500.0,50,,,0.11840944364057959,5.92047218202898,1.8815905563594204,0.3888366042989175,100.37954989048083,74.15961730205484,3.8742546696428364,9.701682088504551,0.3789910415835409
OAT,obs_var,10000.0,100,,,0.27626250344129666,13.813125172064833,2.2762625034412967,0.5853428760750278,99.77014266596855,81.55878530107614,3.8312669757812183,9.79021434441536,0.5705216634302296
OAT,cmro2_var,5e-08,0.000224,,,7.980798745688134e-05,0.003990399372844067,1.9999201920125431,0.00046686573959503323,99.96784673572242,75.68809769008224,4.310315565774223,10.888477028556514,0.0004550444350469924
OAT,cmro2_var,0.005,0.0707,,,0.016453843555473746,0.8226921777736873,2.0164538435554737,0.1043919708261641,99.93411757801735,76.36509923429792,3.8819092564588233,9.803908012560303,0.10174870708919187
OAT,cmro2_var,0.5,0.707,,,0.0011414873512798351,0.05707436756399176,1.9988585126487202,0.2681551759336778,100.05696288185841,76.03617145372165,4.097557262478004,10.407368473131433,0.2613653352321624
OAT,cmro2_var,5.0,2.24,,,0.05483216592519469,2.7416082962597343,2.0548321659251947,0.3178423542628087,99.6860595843419,77.69082151746372,3.0329643252435745,7.611873060705987,0.30979440610695114
OAT,R0_var,0.010000000000000002,0.1,,,0.15739387122259885,7.869693561129942,2.157393871222599,0.21869185012615802,100.00011677747574,78.55946459624087,4.569843776652758,11.586782966375921,0.21315444880654466
OAT,R0_var,4.0,2.0,,,0.25000406677853215,12.500203338926607,2.250004066778532,0.33552086258408786,99.23274761847907,79.59510986253609,4.485539342973369,11.460510433070993,0.32702528460000135
OAT,R0_var,100.0,10.0,,,0.21257691690680014,10.628845845340006,2.2125769169068,0.4632411629819658,96.15038052016041,78.04971770074414,2.334407436553075,5.855923434821264,0.4515116347635353
OAT,R0_var,400.0,20.0,,,0.06633036185056596,3.3165180925282978,1.933669638149434,1.0548155470379454,94.2166323274002,74.03232405319645,1.6031446654906572,3.983942361099463,1.028107020868602
OAT,R0_var,2500.0,50.0,,,0.7622069709234287,38.11034854617144,2.7622069709234287,0.940200267373305,-1237.4005212676047,61.81275332455614,21.951587423973685,56.15589252309559,0.9163938649022005
