section,sweep_param,sweep_value,sweep_label,param_B,value_B,signed_bias,cmro2_bias,cmro2_rel_bias,cmro2_mean,cmro2_std,R0_mean,pves_mean,pO2_abs_err,pO2_rel_err,spread
CROSS,cmro2_true,1.0,1.00,obs_std,1.0,-0.0038269125658252356,0.0038269125658252356,,,0.015178104248294425,,,0.085955857226653,,
CROSS,cmro2_true,1.0,1.00,obs_std,3.25,-0.03293203090681529,0.03293203090681529,,,0.044105216740934615,,,0.09569594777277962,,
CROSS,cmro2_true,1.0,1.00,obs_std,5.5,-0.0068760971956913775,0.0068760971956913775,,,0.06317561239616644,,,0.0830306967661066,,
CROSS,cmro2_true,1.0,1.00,obs_std,7.75,0.003550183833861631,0.003550183833861631,,,0.07781571151817801,,,0.08111137515894418,,
CROSS,cmro2_true,1.0,1.00,obs_std,10.0,-0.0472809018190119,0.0472809018190119,,,0.08154610905312218,,,0.07734885012138111,,
CROSS,cmro2_true,1.5,1.50,obs_std,1.0,0.05153924329424231,0.05153924329424231,,,0.03144193611061192,,,0.07564671960257886,,
CROSS,cmro2_true,1.5,1.50,obs_std,3.25,-0.012022241734539474,0.012022241734539474,,,0.048055040280279286,,,0.15017679460955782,,
CROSS,cmro2_true,1.5,1.50,obs_std,5.5,0.03445067243298183,0.03445067243298183,,,0.0620051561479981,,,0.137444507320528,,
CROSS,cmro2_true,1.5,1.50,obs_std,7.75,-0.0009309160884465317,0.0009309160884465317,,,0.08368324975536115,,,0.12164684167077316,,
CROSS,cmro2_true,1.5,1.50,obs_std,10.0,-0.02734317020212962,0.02734317020212962,,,0.06591100443995067,,,0.17428555627930237,,
CROSS,cmro2_true,2.0,2.00,obs_std,1.0,0.01945446719849131,0.01945446719849131,,,0.024876245488972694,,,0.07927072313289342,,
CROSS,cmro2_true,2.0,2.00,obs_std,3.25,-0.028479015653473105,0.028479015653473105,,,0.05754484181340437,,,0.342443201409198,,
CROSS,cmro2_true,2.0,2.00,obs_std,5.5,-0.008896483298891589,0.008896483298891589,,,0.06629368245425729,,,0.09911464388620982,,
CROSS,cmro2_true,2.0,2.00,obs_std,7.75,-0.025018537213497005,0.025018537213497005,,,0.10148640007253387,,,0.15859578973820523,,
